item,base_price,reference_currency,float_qty,n_listings,ask_min,ask_median,ask_max,pred_mean,pred_std,pred_cv,pred_min,pred_max,factor_mean,factor_std,factor_cv
UMP-45 | Plastique (Factory New),10.64,,158,38,9.99,14.63,114.68,13.0918,3.0641,0.234,10.49,17.88,1.2304,0.288,0.234
AWP | Printstream (Well-Worn),45.45,,516,146,45.43,53.125,319.53,45.5013,4.0825,0.0897,44.47,93.72,1.0011,0.0898,0.0897
AK-47 | Nightwish (Well-Worn),67.88,,326,97,68.86,78.25,500.0,67.7999,0.5757,0.0085,66.9,72.67,0.9988,0.0085,0.0085
MP9 | Airlock (Field-Tested),11.66,,341,101,11.15,12.32,23.57,12.111,0.9164,0.0757,11.47,15.14,1.0387,0.0786,0.0757
USP-S | Jawbreaker (Battle-Scarred),3.63,,514,150,3.62,4.6,1479.92,3.9108,0.5485,0.1402,3.59,5.59,1.0774,0.1511,0.1402
M4A1-S | Solitude (Factory New),31.54,,5042,400,31.29,80.0,12000.0,34.2499,4.5438,0.1327,30.18,64.24,1.0859,0.1441,0.1327
SCAR-20 | Bloodsport (Minimal Wear),12.03,,258,45,11.67,15.56,98.9,13.0351,1.2713,0.0975,11.62,15.96,1.0836,0.1057,0.0975
Desert Eagle | Conspiracy (Minimal Wear),19.51,,1371,400,19.0,25.095,1000.0,19.4615,0.73,0.0375,18.84,26.47,0.9975,0.0374,0.0375
CZ75-Auto | Army Sheen (Minimal Wear),4.16,,41,23,4.08,4.15,5.62,4.1078,0.0852,0.0207,4.01,4.27,0.9875,0.0205,0.0207
AWP | POP AWP (Well-Worn),10.06,,45,17,9.35,10.6,2222.22,9.6788,0.3547,0.0366,9.43,11.0,0.9621,0.0353,0.0366
UMP-45 | Wild Child (Factory New),25.89,,283,91,25.0,47.4,499.0,34.1848,7.9211,0.2317,25.78,46.96,1.3204,0.306,0.2317
MAC-10 | Saibā Oni (Factory New),10.43,,302,138,10.43,13.375,957.35,12.0446,2.4634,0.2045,10.54,18.35,1.1548,0.2362,0.2045
AWP | Duality (Battle-Scarred),3.32,,454,167,3.25,4.65,415.0,3.6671,0.5873,0.1602,3.3,7.36,1.1045,0.1769,0.1602
AK-47 | Redline (Field-Tested),32.03,,14793,400,31.71,80.0,4218.48,43.5744,14.5538,0.334,31.48,125.93,1.3604,0.4544,0.334
FAMAS | Mecha Industries (Minimal Wear),42.71,,764,122,42.84,53.255,483.33,42.8604,1.8042,0.0421,41.62,51.36,1.0035,0.0422,0.0421
Sawed-Off | Wasteland Princess (Minimal Wear),46.13,,203,62,44.89,58.865,222.22,49.515,4.9605,0.1002,44.81,61.81,1.0734,0.1075,0.1002
AWP | Chrome Cannon (Battle-Scarred),27.41,,248,93,27.39,33.88,689.24,28.9269,2.9698,0.1027,27.17,37.61,1.0553,0.1083,0.1027
Glock-18 | Blue Fissure (Minimal Wear),9.95,,472,185,10.06,20.0,27500.0,10.9243,4.9977,0.4575,9.76,70.09,1.0979,0.5023,0.4575
MP9 | Starlight Protector (Battle-Scarred),69.24,,204,58,67.07,76.14,420.0,70.7553,3.4132,0.0482,68.46,82.36,1.0219,0.0493,0.0482
P250 | Visions (Factory New),21.45,,451,183,21.0,35.0,1500.0,26.6796,5.8594,0.2196,21.01,40.28,1.2438,0.2732,0.2196
AK-47 | Rat Rod (Field-Tested),4.71,,760,154,4.67,7.305,75.77,4.8597,0.2756,0.0567,4.69,6.92,1.0318,0.0585,0.0567
M4A4 | Hellish (Battle-Scarred),21.91,,99,35,22.0,27.6,175.0,25.2983,4.1347,0.1634,21.94,33.54,1.1546,0.1887,0.1634
P90 | Shallow Grave (Field-Tested),34.91,,374,113,36.01,46.63,121.32,38.5348,3.8155,0.099,34.47,45.7,1.1038,0.1093,0.099
Tec-9 | Whiteout (Minimal Wear),31.65,,756,400,31.75,49.48,1000.0,37.8735,11.1942,0.2956,31.85,166.25,1.1966,0.3537,0.2956
Galil AR | Eco (Field-Tested),13.1,,1515,295,13.0,24.89,470.08,16.418,3.8645,0.2354,12.94,24.75,1.2533,0.295,0.2354
AK-47 | Searing Rage (Battle-Scarred),4.51,,438,221,4.34,5.11,140.8,4.6325,0.4572,0.0987,4.44,6.65,1.0272,0.1014,0.0987
Five-SeveN | Heat Treated (Field-Tested),4.65,,3609,400,4.6,10.97,8000.0,4.8306,0.2452,0.0508,4.55,6.48,1.0388,0.0527,0.0508
AK-47 | Slate (Factory New),19.34,,2565,400,19.9,31.0,1641.52,22.1814,4.3752,0.1972,19.69,60.46,1.1469,0.2262,0.1972
M4A1-S | Flashback (Minimal Wear),6.09,,433,77,5.95,9.7,38.0,6.1323,0.1005,0.0164,6.05,6.5,1.007,0.0165,0.0164
AK-47 | Head Shot (Minimal Wear),58.89,,974,297,57.18,88.9,696.09,65.3897,7.5827,0.116,59.01,87.68,1.1104,0.1288,0.116
