item,status,error,sort_by,collected_at_utc,base_price,currency,n_listings,cap_hit,discount_sample_n,avg_discount,median_discount,avg_ask,avg_predicted,key_trace,steam_sales_7d_mean,steam_sales_7d_median,steam_sales_7d_p10,steam_sales_7d_p25,steam_sales_7d_p75,steam_sales_7d_p90,steam_sales_7d_min,steam_sales_7d_max,steam_sales_7d_n,steam_sales_7d_iqr_risk%,steam_sales_7d_band_risk%,steam_sales_7d_downside_risk%,steam_sales_7d_tail_ratio,steam_turnover_proxy,steam_discount_risk_score,steam_daily_ret_3d,steam_daily_ret_7d,steam_daily_slope_7d,steam_daily_ema_gap_3_14,steam_daily_range_14d_pct,steam_daily_downside_14d_pct,trade_days,steam_trade_currency,risk_collected_at_utc
Tec-9 | Bamboo Forest (Field-Tested),ok,,best_deal,2026-04-18T19:28:00.693346+00:00,11.0,,37,False,8,-0.0360775855961498,-0.0435868668111008,11.2,10.81,1/1->1/1,11.6969,11.888,10.8987,11.3663,12.072,12.2865,9.893,13.013,78,6.033222477750503,11.864682095256011,8.45779651018646,0.9167816285329744,2.108108108108108,-0.11080562837228206,-0.00426607024519543,-0.030370250867145288,0.006444427346938112,-0.03050460710691938,0.19213011106027186,0.06655297200615606,7,3,2026-04-29T10:25:40.586413+00:00
Tec-9 | Bamboo Forest (Minimal Wear),ok,,best_deal,2026-04-18T19:28:04.383080+00:00,13.19,,50,True,8,-0.0080984052969191,-0.0089255288546645,13.95375,13.8425,1/1,13.8636,13.831,13.449,13.71,13.9815,14.094,11.507,17.265,71,1.9583657924348625,4.652471219596639,2.7554170633890167,0.9723808835225219,1.42,-0.027976268611200644,0.02006083429895722,0.10340775558166859,0.0033158832650299935,0.0007972819162072042,0.2057507987220447,0.093716719914803,7,3,2026-04-29T09:11:52.943775+00:00
Tec-9 | Bamboozle (Factory New),ok,,best_deal,2026-04-18T19:28:46.894920+00:00,19.59,,35,False,8,0.0111127352683712,0.0088111836696499,24.425,24.73375,1/1->1/1,18.2392,18.274,17.4224,17.874,18.535,18.8398,15.579,23.387,79,3.624062458879783,7.7711741743058935,4.669064432650562,0.9533982707672102,2.257142857142857,-0.025321172918410486,-0.051890796571647524,-0.12552406930342974,-0.010633464807706217,-0.1116989712439811,0.4546557301293899,0.0,7,3,2026-04-29T07:58:10.970450+00:00
Tec-9 | Blue Titanium (Factory New),ok,,best_deal,2026-04-18T19:32:20.259229+00:00,21.26,,45,False,8,-0.0061706853669732,-0.0158046345846251,23.91375,23.87625,1/1->1/1,21.8756,21.791,20.661,21.226,22.9275,23.194,17.966,23.536,100,7.778072372872055,11.57911097295616,5.165572601437214,0.948143729062457,2.2222222222222223,-0.047663301612152716,0.05240709651073083,-0.0340260713839492,0.007755160012205585,-0.02605395162842472,0.20582909373113742,0.08523756143830302,7,3,2026-04-29T09:04:56.750951+00:00
Tec-9 | Brother (Factory New),ok,,best_deal,2026-04-18T19:33:47.912654+00:00,10.79,,50,True,8,0.1196079422161682,0.1190151267652251,13.80875,15.6625,1/1,10.2427,10.369,9.5768,9.809,10.6,10.962,6.887,11.122,125,7.722573149657809,13.523777910121348,7.73428881056752,0.9235991898929502,2.5,0.05314641499749852,-0.09587856662503613,-0.18441806049051046,-0.02334940942046058,-0.09546861693097553,0.28859844862395084,0.0,7,3,2026-04-29T06:22:40.864541+00:00
Tec-9 | Cracked Opal (Factory New),ok,,best_deal,2026-04-18T19:35:14.102735+00:00,11.26,,39,False,8,0.1565792159077499,0.155517086824485,12.725,15.0875,1/1->1/1,9.2116,9.3455,8.342,8.842,9.766,9.967,6.244,10.403,70,10.0308306917365,17.640800729514957,10.893872942811225,0.8926221175967044,1.794871794871795,0.05656772429792013,-0.11444002853357804,-0.28822999426652474,-0.022680387451904656,-0.15576489191738307,0.5338319907940162,0.0,7,3,2026-04-29T06:15:25.179833+00:00
Tec-9 | Decimator (Minimal Wear),ok,,best_deal,2026-04-18T19:37:50.028492+00:00,38.61,,50,True,8,-0.0422431762410058,-0.0396326979318889,42.16625,40.42625,1/1,47.3846,47.307,43.4154,45.157,49.643,53.208,34.436,56.526,27,9.467210865977563,20.666208008509095,8.212794874284059,0.9177373327414546,0.54,-0.12062071056711714,-0.04963955988364732,-0.05649084992623443,-0.01949703289977021,,0.17295451016922825,0.0,7,3,2026-04-29T10:39:53.501970+00:00
Tec-9 | Flash Out (Factory New),ok,,best_deal,2026-04-18T19:38:30.950524+00:00,8.05,,38,False,8,0.1141955973755421,0.1441463433954138,10.6825,12.06875,1/1->1/1,8.4829,8.419,7.717,8.097,8.881,9.411,6.63,10.078,141,9.242122387391111,19.969585872755776,8.275471831567044,0.9166171754365126,3.710526315789474,0.044902267747133316,-0.0554754243869966,-0.10914608622854749,0.003004731408167514,-0.06343869040989336,0.3246799013273818,0.04886643956302131,7,3,2026-04-29T06:24:24.360266+00:00
Tec-9 | Fuel Injector (Battle-Scarred),ok,,best_deal,2026-04-18T19:40:21.495549+00:00,11.1,,41,False,8,0.007409310151552,0.0080112336159942,11.27625,11.3625,1/1->1/1,12.3201,12.439,11.7684,11.866,12.653,13.003,11.071,13.068,77,6.387935162863945,10.021022556635096,5.443137636869833,0.9460889138998312,1.8780487804878048,-0.03784010320541853,-0.05967249514293638,-0.022907053394858212,-0.013157176082764899,,0.09504132231404949,0.0,7,3,2026-04-29T08:10:04.260675+00:00
Tec-9 | Fuel Injector (Factory New),ok,,best_deal,2026-04-18T19:40:26.642577+00:00,67.65,,50,True,8,-0.0133813259340574,-0.0036793367052009,67.62375,66.7525,1/1,71.4631,70.9715,68.512,68.9633,72.5182,77.2663,63.242,79.548,14,4.974455348284625,12.250098302480582,3.441636313006301,0.9653452442177493,0.28,-0.04565348967116304,-0.024479922593130143,-0.02115147228116898,0.0025601849938891386,,0.15032448210389088,0.029217558874372964,7,3,2026-04-29T09:28:30.858658+00:00
Tec-9 | Fuel Injector (Field-Tested),ok,,best_deal,2026-04-18T19:40:31.116905+00:00,11.71,,50,True,8,0.0133608485794108,0.0117341061600629,12.76,12.9275,1/1,13.2995,13.266,12.8246,13.0725,13.695,13.8596,6.888,16.161,267,4.680627091244036,7.782247452911764,3.3189217639760877,0.9667269712045832,5.34,-0.003786583902715423,-0.030797500918779863,-0.0538853411781588,-0.006010030186219214,-0.026327984030565244,0.089564689822539,0.00538449871075381,7,3,2026-04-29T07:50:41.229899+00:00
Tec-9 | Fuel Injector (Well-Worn),ok,,best_deal,2026-04-18T19:40:50.027811+00:00,11.33,,44,False,8,-0.0051837022840454,-0.006688080396896,11.3225,11.26375,1/1->1/1,12.9611,12.97,12.455,12.7218,13.312,13.5025,11.516,13.52,86,4.553625849657818,8.081875766717326,3.973428181250053,0.9602929838087895,1.9545454545454546,-0.03550817058013295,-0.010597973234315772,-0.06272900483658228,-0.0063808012992019325,-0.02451588623372758,0.08459734167318224,0.009304143862392478,7,3,2026-04-29T09:01:40.237352+00:00
