market_hash_name,listing_id,asset_id,ask,ask_seller_net,float_value,paint_seed,asset_properties_json,converted_price,converted_fee,converted_currencyid,scm_total_listings
USP-S | Jawbreaker (Minimal Wear),551275660818674359,51574444738,9.05,7.88,0.13389421999454,892,,788,117,2003,467
USP-S | Jawbreaker (Minimal Wear),551275660818675043,51574444728,9.05,7.88,0.14974547922611,397,,788,117,2003,467
USP-S | Jawbreaker (Minimal Wear),525379962965355795,52404003094,9.05,7.88,0.14932361245155,117,,788,117,2003,467
USP-S | Jawbreaker (Minimal Wear),525379962965355831,52396649502,9.05,7.88,0.14971780776978,212,,788,117,2003,467
USP-S | Jawbreaker (Minimal Wear),525379962965355363,52440582406,9.05,7.88,0.13944378495216,241,,788,117,2003,467
USP-S | Jawbreaker (Minimal Wear),525379962965355507,52200477295,9.05,7.88,0.14190416038036,895,,788,117,2003,467
USP-S | Jawbreaker (Minimal Wear),525379962965355615,52381164939,9.05,7.88,0.14684818685055,223,,788,117,2003,467
USP-S | Jawbreaker (Minimal Wear),525379962965355219,52436221397,9.05,7.88,0.1346974670887,856,,788,117,2003,467
USP-S | Jawbreaker (Minimal Wear),525379962965355327,52387616342,9.05,7.88,0.13926991820335,707,,788,117,2003,467
USP-S | Jawbreaker (Minimal Wear),525379962965355687,52418336428,9.05,7.88,0.14721322059631,599,,788,117,2003,467
USP-S | Jawbreaker (Minimal Wear),525379962965354967,52379769847,9.05,7.88,0.13165000081062,487,,788,117,2003,467
USP-S | Jawbreaker (Minimal Wear),528757662679068304,52429313026,9.06,7.89,0.1288480758667,424,,789,117,2003,467
USP-S | Jawbreaker (Minimal Wear),560282859995414013,52546749696,9.09,7.91,0.13619619607925,186,,791,118,2003,467
USP-S | Jawbreaker (Minimal Wear),545645526247091117,52314214843,9.1,7.92,0.12966388463974,984,,792,118,2003,467
USP-S | Jawbreaker (Minimal Wear),545645526247091405,52314536017,9.1,7.92,0.13747619092464,79,,792,118,2003,467
USP-S | Jawbreaker (Minimal Wear),545645526247091333,52315533765,9.1,7.92,0.1330286860466,699,,792,118,2003,467
