item,status,error,sort_by,collected_at_utc,base_price,currency,n_listings,cap_hit,discount_sample_n,avg_discount,median_discount,avg_ask,avg_predicted,key_trace,steam_sales_7d_mean,steam_sales_7d_median,steam_sales_7d_p10,steam_sales_7d_p25,steam_sales_7d_p75,steam_sales_7d_p90,steam_sales_7d_min,steam_sales_7d_max,steam_sales_7d_n,steam_sales_7d_iqr_risk%,steam_sales_7d_band_risk%,steam_sales_7d_downside_risk%,steam_sales_7d_tail_ratio,steam_turnover_proxy,steam_discount_risk_score,steam_daily_ret_3d,steam_daily_ret_7d,steam_daily_slope_7d,steam_daily_ema_gap_3_14,steam_daily_range_14d_pct,steam_daily_downside_14d_pct,trade_days,steam_trade_currency,risk_collected_at_utc,risk_rule_trend,risk_rule_price,risk_rule_liquidity,risk_rule_tail,risk_rule_listings,risk_pass
PP-Bizon | High Roller (Field-Tested),ok,,best_deal,2026-04-19T02:56:10.889460+00:00,9.87,,50,True,8,0.023777958950398,0.0084031673747877,11.0325,11.30125,2/2,12.0131,11.966,11.4554,11.493,12.5455,12.849,1.244,13.077,207,8.76126894806503,11.600669269380935,4.2503600236408605,0.9573290991141568,4.14,-0.004506378906105,-0.0285114288021969,-0.0324967824967824,-0.0080397601140629,-0.0039971117872786,0.0866311938809444,0.031842367808447,7,3,2026-05-08T22:17:19.580445+00:00,True,True,True,True,True,True
PP-Bizon | High Roller (Minimal Wear),ok,,best_deal,2026-04-19T02:56:15.595103+00:00,11.65,,33,False,8,1.275799754124618e-05,-0.0008598452278589,11.35625,11.35625,1/2->2/2,13.3932,13.188,12.334,12.506,13.981,14.3654,9.184,17.238,87,11.01305139921751,15.167398381268104,6.376370098258826,0.9352441613588108,2.636363636363636,-0.0525375968616522,0.0074386667620343,0.022133526850508,0.0080789796418694,0.0218935331577654,0.1141640042598509,0.1141640042598509,7,3,2026-05-08T23:31:36.491456+00:00,True,True,True,True,True,True
PP-Bizon | Osiris (Factory New),ok,,best_deal,2026-04-19T03:50:24.169260+00:00,6.24,,50,True,8,0.0207982043170914,0.013081255415423,6.1,6.23125,1/2,5.8469,5.861,5.4898,5.734,5.929,5.938,4.358,8.036,133,3.335100651627363,7.665600574663496,6.34866339427731,0.936666097935506,2.66,-0.0314188079177934,0.0111712340722638,-0.0244189962950487,-0.004780708587932,-0.0297428159244655,0.1166925599861902,0.0110478163300535,7,3,2026-05-08T22:22:53.906310+00:00,True,True,True,True,True,True
R8 Revolver | Banana Cannon (Factory New),ok,,best_deal,2026-04-19T03:56:53.269841+00:00,7.31,,50,True,8,0.0356733437500624,0.033659660236107,7.39125,7.66625,1/2,7.8652,7.828,7.573,7.67,7.925,7.9364,5.393,12.861,337,3.242129888623301,4.620352947159634,3.242129888623301,0.9674246295350024,6.74,0.0210268640774872,-0.017402431222009,-0.034209533392026,-0.0067354436906698,-0.0319780791440802,0.102877978903503,0.0033858575335331,7,3,2026-05-08T22:01:38.641785+00:00,True,True,True,True,True,True
R8 Revolver | Blaze (Factory New),ok,,best_deal,2026-04-19T03:57:02.085513+00:00,4.47,,50,True,8,0.0520521737660503,0.0531673473511032,5.0912500000000005,5.37,1/2,5.7805,5.752,5.556,5.642,5.806,6.098,4.522,9.276,581,2.837124816192365,9.37635152668454,3.3907101461811218,0.9659248956884562,11.62,0.0401662594024014,-0.0034686090877557,0.0126894606979204,0.0104778142933913,0.0454771748620181,0.2201531500174033,0.1439262095370692,7,3,2026-05-08T21:45:17.888828+00:00,True,True,True,True,True,True
R8 Revolver | Bone Forged (Factory New),ok,,best_deal,2026-04-19T03:57:31.972896+00:00,3.11,,28,False,8,0.0592630811214289,0.034521158129176,3.5075,3.76625,2/2->1/2,1.9125,1.915,1.8342,1.8875,1.954,1.979,1.465,2.687,215,3.477124183006536,7.571241830065362,4.224836601307189,0.9578067885117494,7.678571428571429,0.0357836799534788,-0.0120861797162376,-0.0228690228690229,-0.0046320177315904,-0.0209203341218631,0.0755319148936169,0.0,7,3,2026-05-08T21:39:51.979075+00:00,True,True,True,True,True,True
R8 Revolver | Fade (Minimal Wear),ok,,best_deal,2026-04-19T04:00:23.496178+00:00,87.81,,50,True,8,0.0192926613521633,0.0181432987983156,96.7575,98.68,1/2,111.1348,114.671,96.5059,108.6672,117.111,118.802,90.474,126.116,62,7.597800149008241,20.062212736244643,16.345105223566346,0.8415894166790208,1.24,-0.1371534305168169,0.0510118275048898,0.0083836851382517,0.0166062547470972,0.0378111870428332,0.161387809056676,0.1429161557393444,7,3,2026-05-08T22:27:53.367370+00:00,True,True,True,True,True,True
R8 Revolver | Llama Cannon (Field-Tested),ok,,best_deal,2026-04-19T04:48:58.048334+00:00,9.93,,50,True,8,0.0400302782332602,0.0387858397925737,10.9875,11.4475,1/2,11.7607,11.728,11.043,11.433,12.233,12.5336,7.164,12.752,217,6.802316188662245,12.674415638524922,5.824483236542047,0.9415927694406548,4.34,-0.0036637289915891,0.0240068346860315,0.0158488007458259,8.862820415177022e-05,0.0101101014924176,0.088978808610045,0.0780076756215585,7,3,2026-05-08T21:56:34.548086+00:00,True,True,True,True,True,True
R8 Revolver | Nitro (Factory New),ok,,best_deal,2026-04-19T04:51:26.032991+00:00,8.84,,33,False,8,-0.0199385357727296,-0.0163472037502256,10.0475,9.885,2/2->1/2,9.4031,9.514,8.987,9.226,9.624,9.705,8.386,9.803,55,4.2326466803500935,7.635779689676808,5.60453467473492,0.9446079461845702,1.6666666666666667,-0.0674645078746331,-0.0397288842544317,-0.0090390616593134,-0.0032044592672038,,0.1881854707351504,0.1431208600282332,7,3,2026-05-09T00:41:06.033870+00:00,True,True,True,True,True,True
R8 Revolver | Skull Crusher (Field-Tested),ok,,best_deal,2026-04-19T04:53:27.317770+00:00,10.17,,50,True,8,-0.0242076548221517,-0.0186616456134447,10.22375,9.9825,1/2,12.5707,11.727,11.4164,11.633,12.155,14.751,9.403,44.92,169,4.15251338429841,26.52676461931317,2.470825013722393,0.9735141127313036,3.38,-0.0360864227492936,-0.0223413025556472,0.0197781408547597,-0.0170450268750149,0.0031927034859442,0.2682350957079012,0.0609663546673413,7,3,2026-05-09T00:52:20.954579+00:00,True,True,True,True,True,True
SCAR-20 | Bloodsport (Factory New),ok,,best_deal,2026-04-19T04:56:02.385315+00:00,23.0,,50,True,8,-0.0391100804157042,-0.0483004447246863,23.76875,22.885,2/2,28.2579,28.057,25.556,27.556,28.728,28.903,24.421,54.67,57,4.147512730953117,11.844475350256028,8.850622303851305,0.9108600349288948,1.14,-0.1210080279872334,0.0387367737981505,0.102341418624225,0.0061389975573012,,0.1176205185159476,0.1176205185159476,7,3,2026-05-09T01:26:53.964034+00:00,True,True,True,True,True,True
SCAR-20 | Bloodsport (Field-Tested),ok,,best_deal,2026-04-19T04:56:06.427321+00:00,12.03,,36,False,8,0.0076926246830072,0.001144122434312,12.08125,12.17625,1/2->2/2,14.3406,14.2495,13.4321,13.782,14.809,15.357,11.467,16.237,132,7.161485572430716,13.422729871832416,5.699900980433171,0.9426365837397804,3.6666666666666665,-0.0359262495021529,0.0326502878804133,0.0656136984279283,0.01406722983352,0.0438059635418845,0.1853442305028397,0.0869233965923258,7,3,2026-05-08T23:02:58.906228+00:00,True,True,True,True,True,True
