item,base_usd,base_eur,predicted_usd,predicted_eur,quantity,reference_currency,fx_usd_to_eur,fx_source,base_collected_at_utc,status,error
UMP-45 | Wild Child (Battle-Scarred),3.21,2.7321594,3.26,2.7747164,273,USD,0.85114,Frankfurter 2026-04-27 (ECB),2026-04-28T13:49:32.734828+00:00,ok,
USP-S | Alpine Camo (Factory New),3.92,3.3364688,4.06,3.4556283999999997,3317,USD,0.85114,Frankfurter 2026-04-27 (ECB),2026-04-28T14:04:12.658718+00:00,ok,
USP-S | Black Lotus (Factory New),40.64,34.590329600000004,39.82,33.8923948,247,USD,0.85114,Frankfurter 2026-04-27 (ECB),2026-04-28T14:00:57.723904+00:00,ok,
USP-S | Black Lotus (Minimal Wear),2.78,2.3661692,2.89,2.4597946,752,USD,0.85114,Frankfurter 2026-04-27 (ECB),2026-04-28T13:57:45.229041+00:00,ok,
USP-S | Guardian (Minimal Wear),3.48,2.9619672,3.97,3.3790258000000004,858,USD,0.85114,Frankfurter 2026-04-27 (ECB),2026-04-28T14:01:16.641208+00:00,ok,
USP-S | Jawbreaker (Minimal Wear),7.34,6.2473676,7.25,6.170765,985,USD,0.85114,Frankfurter 2026-04-27 (ECB),2026-04-28T14:10:18.436016+00:00,ok,
USP-S | Kill Confirmed (Field-Tested),69.02,58.7456828,68.83,58.5839662,548,USD,0.85114,Frankfurter 2026-04-27 (ECB),2026-04-28T14:00:01.048739+00:00,ok,
USP-S | Monster Mashup (Field-Tested),24.56,20.9039984,24.27,20.6571678,266,USD,0.85114,Frankfurter 2026-04-27 (ECB),2026-04-28T14:09:40.425141+00:00,ok,
USP-S | Printstream (Minimal Wear),64.77,55.1283378,64.8,55.153872,1463,USD,0.85114,Frankfurter 2026-04-27 (ECB),2026-04-28T13:59:09.996919+00:00,ok,
USP-S | The Traitor (Battle-Scarred),32.75,27.874835,32.42,27.593958800000003,177,USD,0.85114,Frankfurter 2026-04-27 (ECB),2026-04-28T14:10:48.778686+00:00,ok,
XM1014 | Entombed (Factory New),8.94,7.6091916,9.48,8.0688072,739,USD,0.85114,Frankfurter 2026-04-27 (ECB),2026-04-28T13:58:51.715879+00:00,ok,
XM1014 | Entombed (Minimal Wear),4.21,3.5832994,4.28,3.6428792000000003,777,USD,0.85114,Frankfurter 2026-04-27 (ECB),2026-04-28T13:45:55.601344+00:00,ok,
XM1014 | Halftone Shift (Factory New),4.82,4.1024948000000006,5.1,4.340814,339,USD,0.85114,Frankfurter 2026-04-27 (ECB),2026-04-28T14:09:01.332012+00:00,ok,
