market_hash_name,listing_id,asset_id,ask,ask_seller_net,float_value,paint_seed,asset_properties_json,converted_price,converted_fee,converted_currencyid,scm_total_listings
Galil AR | Rainbow Spoon (Minimal Wear),801212402309506869,41238566701,78.62,68.38,0.12446211278439,348,,6838.0,1024,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),636838417166630692,48711464500,80.0,69.58,0.13781580328941,976,,6958.0,1042,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),631208845694634590,48628729561,80.0,69.58,0.13327360153198,298,,6958.0,1042,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),766305423213148386,45514184024,80.5,70.0,0.104860663414,350,,7000.0,1050,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),746039224899642933,48526024888,80.84,70.3,0.11277581751347,662,,7030.0,1054,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),623324374969718883,49924693291,81.3,70.7,0.10713616013527,510,,7070.0,1060,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),624453446269717050,50849926425,81.33,70.73,0.10061928629875,352,,7073.0,1060,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),642467844780426893,50155000515,81.33,70.73,0.11899874359369,36,,7073.0,1060,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),660482243290782094,49948795154,81.36,70.76,0.14363603293896,102,,7076.0,1060,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),800088127612005524,49709622823,82.05,71.36,0.13949087262154,593,,7136.0,1069,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),610942109778701767,49201413344,84.5,73.49,0.07680138200521,129,,7349.0,1101,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),735906125728116129,48413286316,85.81,74.62,0.11767891049385,995,,7462.0,1119,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),648097344299341796,50236732239,85.81,74.62,0.13874693214893,249,,7462.0,1119,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),631205040528843005,50030440419,87.02,75.68,0.12201063334942,935,,7568.0,1134,2003.0,111
